Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i7-4770HQ,437,64.1,1451,https://cpu.userbenchmark.com/SpeedTest/18784/IntelR-CoreTM-i7-4770HQ-CPU---220GHz
CPU,,Intel,Core i7-4702MQ,438,64,19586,https://cpu.userbenchmark.com/SpeedTest/2674/IntelR-CoreTM-i7-4702MQ-CPU---220GHz
CPU,BX80601920,Intel,Core i7-920,439,63.8,67785,https://cpu.userbenchmark.com/Intel-Core-i7-920/Rating/1981
CPU,FJ8068404064405,Intel,Core i7-8565U,440,63.7,70006,https://cpu.userbenchmark.com/SpeedTest/591977/IntelR-CoreTM-i7-8565U-CPU---180GHz
CPU,,AMD,Ryzen 7 2800H,441,63.7,55,https://cpu.userbenchmark.com/SpeedTest/667422/AMD-Ryzen-7-2800H-with-Radeon-Vega-Graphics
CPU,,Intel,Core i7-4750HQ,442,63.7,4914,https://cpu.userbenchmark.com/SpeedTest/3709/IntelR-CoreTM-i7-4750HQ-CPU---200GHz
CPU,,Intel,Core i5-2400S,443,63.6,9296,https://cpu.userbenchmark.com/SpeedTest/304/IntelR-CoreTM-i5-2400S-CPU---250GHz
CPU,,Intel,Core i5-6300HQ,444,63.6,50355,https://cpu.userbenchmark.com/SpeedTest/38166/IntelR-CoreTM-i5-6300HQ-CPU---230GHz
CPU,,Intel,Core i5-8350U,445,63.6,15424,https://cpu.userbenchmark.com/SpeedTest/388461/IntelR-CoreTM-i5-8350U-CPU---170GHz
CPU,CM8068403360212,Intel,Pentium G5400T,446,63.4,134,https://cpu.userbenchmark.com/SpeedTest/528812/IntelR-PentiumR-Gold-G5400T-CPU---310GHz
CPU,YD1400BBAEBOX,AMD,Ryzen 5 1400,447,63.4,68740,https://cpu.userbenchmark.com/AMD-Ryzen-5-1400/Rating/3922
CPU,BX80662I36100,Intel,Core i3-6100,448,63.4,101661,https://cpu.userbenchmark.com/Intel-Core-i3-6100/Rating/3511
CPU,,Intel,Core i5-8365U,449,63.3,5215,https://cpu.userbenchmark.com/SpeedTest/774761/IntelR-CoreTM-i5-8365U-CPU---160GHz
CPU,,AMD,FX-6350 Six-Core,450,63.2,26796,https://cpu.userbenchmark.com/SpeedTest/713/AMD-FXtm-6350-Six-Core-Processor
CPU,,Intel,Core i7-7567U,451,63.2,1743,https://cpu.userbenchmark.com/SpeedTest/219709/IntelR-CoreTM-i7-7567U-CPU---350GHz
CPU,BX80646I34330,Intel,Core i3-4330,452,63.1,5684,https://cpu.userbenchmark.com/Intel-Core-i3-4330/Rating/2876
CPU,FJ8068404064604,Intel,Core i5-8265U,453,63.1,76173,https://cpu.userbenchmark.com/SpeedTest/566107/IntelR-CoreTM-i5-8265U-CPU---160GHz
CPU,,Intel,Core i7-3615QM,454,63,2338,https://cpu.userbenchmark.com/SpeedTest/806/IntelR-CoreTM-i7-3615QM-CPU---230GHz
CPU,,Intel,Xeon W3520,455,63,6146,https://cpu.userbenchmark.com/SpeedTest/3585/IntelR-XeonR-CPU-----------W3520----267GHz
CPU,HDE00ZFBGRBOX,AMD,Phenom II X6 1100T,456,63,11795,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1100T/Rating/2004
CPU,,AMD,Phenom II X4 980,457,62.9,1066,https://cpu.userbenchmark.com/SpeedTest/5445/AMD-Phenomtm-II-X4-980-Processor
CPU,BX80677G4600,Intel,Pentium G4600,458,62.8,14921,https://cpu.userbenchmark.com/Intel-Pentium-G4600/Rating/3894
CPU,,Intel,Xeon E5540,459,62.7,426,https://cpu.userbenchmark.com/SpeedTest/13822/IntelR-XeonR-CPU-----------E5540----253GHz
CPU,BX80646I34170,Intel,Core i3-4170,460,62.6,41137,https://cpu.userbenchmark.com/SpeedTest/28214/IntelR-CoreTM-i3-4170-CPU---370GHz
CPU,FD8320FRHKBOX,AMD,FX-8320,461,62.6,117188,https://cpu.userbenchmark.com/AMD-FX-8320/Rating/1983
CPU,YD1200BBAEBOX,AMD,Ryzen 3 1200,462,62.6,74808,https://cpu.userbenchmark.com/AMD-Ryzen-3-1200/Rating/3931
CPU,,Intel,Core i7-3612QM,463,62.5,9676,https://cpu.userbenchmark.com/SpeedTest/329/IntelR-CoreTM-i7-3612QM-CPU---210GHz
CPU,,Intel,Core i7-2920XM,464,62.4,834,https://cpu.userbenchmark.com/SpeedTest/459/IntelR-CoreTM-i7-2920XM-CPU---250GHz
CPU,,AMD,FX-8310,465,62.3,1535,https://cpu.userbenchmark.com/SpeedTest/18534/AMD-FXtm-8310-Eight-Core-Processor
CPU,,Intel,Core i7-8550U,466,62.3,162588,https://cpu.userbenchmark.com/SpeedTest/320742/IntelR-CoreTM-i7-8550U-CPU---180GHz
CPU,,Intel,Core i7-3635QM,467,62.2,2570,https://cpu.userbenchmark.com/SpeedTest/2465/IntelR-CoreTM-i7-3635QM-CPU---240GHz
CPU,,AMD,Phenom II X4 B65,468,62.2,205,https://cpu.userbenchmark.com/SpeedTest/6054/AMD-Phenomtm-II-X4-B65-Processor
CPU,,Intel,Core i3-6098P,469,62.1,4773,https://cpu.userbenchmark.com/SpeedTest/80177/IntelR-CoreTM-i3-6098P-CPU---360GHz
CPU,,Intel,Core i7-3632QM,470,62.1,24042,https://cpu.userbenchmark.com/SpeedTest/36/IntelR-CoreTM-i7-3632QM-CPU---220GHz
CPU,FD8150FRGUBOX,AMD,FX-8150,471,62,21556,https://cpu.userbenchmark.com/AMD-FX-8150/Rating/2006
CPU,,Intel,Core i7-4702HQ,472,62,3110,https://cpu.userbenchmark.com/SpeedTest/297/IntelR-CoreTM-i7-4702HQ-CPU---220GHz
CPU,,Intel,Core i7-8665U,473,61.9,6357,https://cpu.userbenchmark.com/SpeedTest/740553/IntelR-CoreTM-i7-8665U-CPU---190GHz
CPU,BX80677G4560,Intel,Pentium G4560,474,61.8,58754,https://cpu.userbenchmark.com/Intel-Pentium-G4560/Rating/3892
CPU,,Intel,Xeon X3430,475,61.8,3342,https://cpu.userbenchmark.com/SpeedTest/5225/IntelR-XeonR-CPU-----------X3430----240GHz
CPU,,Intel,Core i5-7260U,476,61.8,2280,https://cpu.userbenchmark.com/SpeedTest/269906/IntelR-CoreTM-i5-7260U-CPU---220GHz
CPU,,AMD,FX-8300,477,61.8,42361,https://cpu.userbenchmark.com/SpeedTest/7163/AMD-FXtm-8300-Eight-Core-Processor
CPU,FD837EWMHKBOX,AMD,FX-8370E,478,61.8,5039,https://cpu.userbenchmark.com/AMD-FX-8370E/Rating/2984
CPU,,Intel,Core i5-8250U,479,61.7,218396,https://cpu.userbenchmark.com/SpeedTest/338266/IntelR-CoreTM-i5-8250U-CPU---160GHz
CPU,BX80646I34160,Intel,Core i3-4160,480,61.7,46921,https://cpu.userbenchmark.com/Intel-Core-i3-4160/Rating/2816
CPU,,AMD,Phenom II X4 975,481,61.6,1079,https://cpu.userbenchmark.com/SpeedTest/3020/AMD-Phenomtm-II-X4-975-Processor
CPU,,Intel,Core i7-2860QM,482,61.5,3572,https://cpu.userbenchmark.com/SpeedTest/103/IntelR-CoreTM-i7-2860QM-CPU---250GHz
CPU,,AMD,Phenom II X6 1090T,483,61.4,25329,https://cpu.userbenchmark.com/SpeedTest/417/AMD-Phenomtm-II-X6-1090T-Processor
CPU,FD832EWMHKBOX,AMD,FX-8320E,484,61.4,33033,https://cpu.userbenchmark.com/AMD-FX-8320E/Rating/2985
CPU,,Intel,Core i7-8650U,485,61.3,36076,https://cpu.userbenchmark.com/SpeedTest/353957/IntelR-CoreTM-i7-8650U-CPU---190GHz
CPU,,AMD,Athlon II X4 555,486,61.3,114,https://cpu.userbenchmark.com/SpeedTest/12528/AMD-Athlontm-II-X4-555-Processor
CPU,,Intel,Xeon E5-2620 v2,487,61.2,1923,https://cpu.userbenchmark.com/SpeedTest/4718/IntelR-XeonR-CPU-E5-2620-v2---210GHz
CPU,CM8068403377713,Intel,Pentium G5500T,488,61.1,49,https://cpu.userbenchmark.com/SpeedTest/519437/IntelR-PentiumR-Gold-G5500T-CPU---320GHz
CPU,,Intel,Core i7-4712HQ,489,61.1,4595,https://cpu.userbenchmark.com/SpeedTest/10973/IntelR-CoreTM-i7-4712HQ-CPU---230GHz
CPU,BX80646I34150,Intel,Core i3-4150,490,61,34400,https://cpu.userbenchmark.com/Intel-Core-i3-4150/Rating/2309
CPU,,Intel,Core i7-2760QM,491,61,8573,https://cpu.userbenchmark.com/SpeedTest/949/IntelR-CoreTM-i7-2760QM-CPU---240GHz
CPU,BX80677I37100T,Intel,Core i3-7100T,492,61,2332,https://cpu.userbenchmark.com/SpeedTest/230301/IntelR-CoreTM-i3-7100T-CPU---340GHz
CPU,,Intel,Core i5-1035G4,493,60.9,9726,https://cpu.userbenchmark.com/SpeedTest/921077/IntelR-CoreTM-i5-1035G4-CPU---110GHz
CPU,,Intel,Core2 Extreme X9770,494,60.8,450,https://cpu.userbenchmark.com/SpeedTest/10543/IntelR-CoreTM2-Extreme-CPU-X9770----320GHz
CPU,,Intel,Xeon E5530,495,60.7,567,https://cpu.userbenchmark.com/SpeedTest/4018/IntelR-XeonR-CPU-----------E5530----240GHz
CPU,,AMD,FX-6200 Six-Core,496,60.7,5188,https://cpu.userbenchmark.com/SpeedTest/2658/AMD-FXtm-6200-Six-Core-Processor
CPU,,Intel,Core i3-2125,497,60.7,572,https://cpu.userbenchmark.com/SpeedTest/3545/IntelR-CoreTM-i3-2125-CPU---330GHz
CPU,,Intel,Xeon E5-1603 0,498,60.7,2676,https://cpu.userbenchmark.com/SpeedTest/9880/IntelR-XeonR-CPU-E5-1603-0---280GHz
CPU,FD6300WMHKBOX,AMD,FX-6300,499,60.6,256546,https://cpu.userbenchmark.com/AMD-FX-6300/Rating/1555
CPU,,AMD,Phenom II X4 970,500,60.6,2064,https://cpu.userbenchmark.com/SpeedTest/2231/AMD-Phenomtm-II-X4-970-Processor
CPU,BX80646I34130,Intel,Core i3-4130,501,60.5,43923,https://cpu.userbenchmark.com/Intel-Core-i3-4130/Rating/1621
CPU,,Intel,Core i7-5557U,502,60.4,1407,https://cpu.userbenchmark.com/SpeedTest/27386/IntelR-CoreTM-i7-5557U-CPU---310GHz
CPU,FD4350FRHKBOX,AMD,FX-4350,503,60.3,10663,https://cpu.userbenchmark.com/AMD-FX-4350/Rating/2880
CPU,,AMD,Phenom II X6 1075T,504,60.2,4136,https://cpu.userbenchmark.com/SpeedTest/913/AMD-Phenomtm-II-X6-1075T-Processor
CPU,,Intel,Core i3-3250,505,60.2,3434,https://cpu.userbenchmark.com/SpeedTest/4950/IntelR-CoreTM-i3-3250-CPU---350GHz
CPU,,Intel,Core i7-2820QM,506,60.1,4764,https://cpu.userbenchmark.com/SpeedTest/3145/IntelR-CoreTM-i7-2820QM-CPU---230GHz
CPU,BX80637I33225,Intel,Core i3-3225,507,60.1,2860,https://cpu.userbenchmark.com/Intel-Core-i3-3225/Rating/1488
CPU,CM8067703016117,Intel,Pentium G4560T,508,60,368,https://cpu.userbenchmark.com/SpeedTest/467086/IntelR-PentiumR-CPU-G4560T---290GHz
CPU,,Intel,Core i7 X 940,509,60,513,https://cpu.userbenchmark.com/SpeedTest/2801/IntelR-CoreTM-i7-CPU-------X-940----213GHz
CPU,,AMD,Phenom II X4 B60,510,59.9,1314,https://cpu.userbenchmark.com/SpeedTest/8154/AMD-Phenomtm-II-X4-B60-Processor
CPU,BX80662G4520,Intel,Pentium G4520,511,59.8,336,https://cpu.userbenchmark.com/Intel-Pentium-G4520/Rating/3537
CPU,,Intel,Core i3-7167U,512,59.7,34,https://cpu.userbenchmark.com/SpeedTest/357115/IntelR-CoreTM-i3-7167U-CPU---280GHz
CPU,,Intel,Xeon E5620,513,59.6,2706,https://cpu.userbenchmark.com/SpeedTest/6971/IntelR-XeonR-CPU-----------E5620----240GHz
CPU,,Intel,Core i7-4610M,514,59.6,4032,https://cpu.userbenchmark.com/SpeedTest/11649/IntelR-CoreTM-i7-4610M-CPU---300GHz
CPU,,Intel,Core i5-1035G7,515,59.6,3254,https://cpu.userbenchmark.com/SpeedTest/920409/IntelR-CoreTM-i5-1035G7-CPU---120GHz
CPU,,Intel,Core i5-4570T,516,59.4,4585,https://cpu.userbenchmark.com/SpeedTest/6853/IntelR-CoreTM-i5-4570T-CPU---290GHz
CPU,,Intel,Pentium G3470,517,59.3,123,https://cpu.userbenchmark.com/SpeedTest/28614/IntelR-PentiumR-CPU-G3470---360GHz
CPU,BX80662I36100T,Intel,Core i3-6100T,518,59.3,4928,https://cpu.userbenchmark.com/SpeedTest/40317/IntelR-CoreTM-i3-6100T-CPU---320GHz
CPU,YD240GC6FBBOX,AMD,Athlon 240GE,519,59.2,419,https://cpu.userbenchmark.com/SpeedTest/705151/AMD-Athlon-240GE-with-Radeon-Vega-Graphics
CPU,,Intel,Xeon E5-2630 0,520,59.2,1608,https://cpu.userbenchmark.com/SpeedTest/6512/IntelR-XeonR-CPU-E5-2630-0---230GHz
CPU,,Intel,Core i7-2720QM,521,59.1,7452,https://cpu.userbenchmark.com/SpeedTest/532/IntelR-CoreTM-i7-2720QM-CPU---220GHz
CPU,,Intel,Xeon E5520,522,59,1294,https://cpu.userbenchmark.com/SpeedTest/5884/IntelR-XeonR-CPU-----------E5520----227GHz
CPU,,AMD,Ryzen 7 3750H,523,59,35347,https://cpu.userbenchmark.com/SpeedTest/786211/AMD-Ryzen-7-3750H-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Core i3-3240,524,58.9,31641,https://cpu.userbenchmark.com/SpeedTest/2133/IntelR-CoreTM-i3-3240-CPU---340GHz
CPU,,Intel,Core i3-2105,525,58.9,970,https://cpu.userbenchmark.com/SpeedTest/2747/IntelR-CoreTM-i3-2105-CPU---310GHz
