"brand","model","cores","base_clock","boost_clock","tdp","integrated_graphics","multithreading","price"
"AMD","A6-6420K",2,"{\"cycles\":4000000000}","{\"cycles\":4200000000}",65,"Radeon HD 8000 Series",false,"[\"USD\",\"0.00\"]"
"AMD","A6-7400K",2,"{\"cycles\":3500000000}","{\"cycles\":3900000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"0.00\"]"
"AMD","A6-7470K",2,"{\"cycles\":3700000000}","{\"cycles\":4000000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"0.00\"]"
"AMD","A6-7470K",2,"{\"cycles\":3700000000}","{\"cycles\":4000000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"105.27\"]"
"AMD","A6-7480",2,"{\"cycles\":3500000000}","{\"cycles\":3800000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"144.00\"]"
"AMD","A6-9500",2,"{\"cycles\":3500000000}","{\"cycles\":3800000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"161.00\"]"
"AMD","A6-9500E",2,"{\"cycles\":3000000000}","{\"cycles\":3400000000}",35,"Radeon R5 (on die)",false,"[\"USD\",\"196.87\"]"
"AMD","A6-9550",2,"{\"cycles\":3800000000}","{\"cycles\":4000000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"0.00\"]"
"AMD","A8-3850",4,"{\"cycles\":2900000000}",null,100,"Radeon HD 6550D",false,"[\"USD\",\"0.00\"]"
"AMD","A8-3870K",4,"{\"cycles\":3000000000}",null,100,"Radeon HD 6550D",false,"[\"USD\",\"0.00\"]"
"AMD","A8-5500",4,"{\"cycles\":3200000000}",null,65,"Radeon HD 7560D",false,"[\"USD\",\"0.00\"]"
"AMD","A8-5600K",4,"{\"cycles\":3600000000}",null,100,"Radeon HD 7560D",false,"[\"USD\",\"0.00\"]"
"AMD","A8-6500",4,"{\"cycles\":3500000000}",null,65,"Radeon HD 8570D",false,"[\"USD\",\"311.66\"]"
"AMD","A8-6600K",4,"{\"cycles\":3900000000}",null,100,"Radeon HD 8570D",false,"[\"USD\",\"0.00\"]"
"AMD","A8-7600",4,"{\"cycles\":3100000000}","{\"cycles\":3800000000}",65,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A8-7650K",4,"{\"cycles\":3300000000}","{\"cycles\":3700000000}",95,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A8-7670K",4,"{\"cycles\":3600000000}","{\"cycles\":3900000000}",95,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A8-7680",4,"{\"cycles\":3500000000}","{\"cycles\":3800000000}",65,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A8-9600",4,"{\"cycles\":3100000000}","{\"cycles\":3400000000}",65,"Radeon R7 (on-die)",false,"[\"USD\",\"213.74\"]"
"AMD","Athlon 200GE",2,"{\"cycles\":3200000000}",null,35,"Radeon Vega 3",true,"[\"USD\",\"0.00\"]"
"AMD","Athlon 200GE",2,"{\"cycles\":3200000000}",null,35,"Radeon Vega 3",true,"[\"USD\",\"110.89\"]"
"AMD","Athlon 220GE",2,"{\"cycles\":3400000000}",null,35,"Radeon Vega 3",true,"[\"USD\",\"0.00\"]"
"AMD","Athlon 220GE",2,"{\"cycles\":3400000000}",null,35,"Radeon Vega 3",true,"[\"USD\",\"113.58\"]"
"AMD","Athlon 240GE",2,"{\"cycles\":3500000000}",null,35,"Radeon Vega 3",true,"[\"USD\",\"113.58\"]"
"AMD","Athlon 240GE",2,"{\"cycles\":3500000000}",null,35,"Radeon Vega 3",true,"[\"USD\",\"0.00\"]"
"AMD","Athlon 3000G",2,"{\"cycles\":3500000000}",null,35,"Radeon Vega 3",true,"[\"USD\",\"0.00\"]"
"AMD","Athlon 5370",4,"{\"cycles\":2200000000}",null,25,"Radeon R3 (on die)",false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II 160u",1,"{\"cycles\":1800000000}",null,20,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 215",2,"{\"cycles\":2700000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 220",2,"{\"cycles\":2800000000}",null,65,null,false,"[\"USD\",\"26.73\"]"
"AMD","Athlon II X2 221",2,"{\"cycles\":2800000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 235e",2,"{\"cycles\":2700000000}",null,45,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 240",2,"{\"cycles\":2800000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 240",2,"{\"cycles\":2800000000}",null,65,null,false,"[\"USD\",\"29.48\"]"
"AMD","Athlon II X2 240e",2,"{\"cycles\":2800000000}",null,45,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 245",2,"{\"cycles\":2900000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 245e",2,"{\"cycles\":2900000000}",null,45,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 250",2,"{\"cycles\":3000000000}",null,65,null,false,"[\"USD\",\"184.71\"]"
"AMD","Athlon II X2 250",2,"{\"cycles\":3000000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 250u",2,"{\"cycles\":1600000000}",null,25,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 255",2,"{\"cycles\":3100000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 255",2,"{\"cycles\":3100000000}",null,65,null,false,"[\"USD\",\"130.32\"]"
"AMD","Athlon II X2 260",2,"{\"cycles\":3200000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 260u",2,"{\"cycles\":1800000000}",null,25,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 265",2,"{\"cycles\":3200000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X2 270",2,"{\"cycles\":3400000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 400e",3,"{\"cycles\":2200000000}",null,45,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 405e",3,"{\"cycles\":2300000000}",null,45,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 415e",3,"{\"cycles\":2500000000}",null,45,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 425",3,"{\"cycles\":2700000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 435",3,"{\"cycles\":2900000000}",null,95,null,false,"[\"USD\",\"159.94\"]"
"AMD","Athlon II X3 435",3,"{\"cycles\":2900000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 440",3,"{\"cycles\":3000000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 445",3,"{\"cycles\":3100000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 450",3,"{\"cycles\":3200000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 455",3,"{\"cycles\":3300000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X3 460",3,"{\"cycles\":3400000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 600e",4,"{\"cycles\":2200000000}",null,45,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 605e",4,"{\"cycles\":2300000000}",null,45,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 610e",4,"{\"cycles\":2400000000}",null,45,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 620",4,"{\"cycles\":2600000000}",null,95,null,false,"[\"USD\",\"203.38\"]"
"AMD","Athlon II X4 620",4,"{\"cycles\":2600000000}",null,95,null,false,"[\"USD\",\"59.49\"]"
"AMD","Athlon II X4 630",4,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"91.40\"]"
"AMD","Athlon II X4 630",4,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"52.60\"]"
"AMD","Athlon II X4 630",4,"{\"cycles\":2800000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 631",4,"{\"cycles\":2600000000}",null,100,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 635",4,"{\"cycles\":2900000000}",null,95,null,false,"[\"USD\",\"65.07\"]"
"AMD","Athlon II X4 635",4,"{\"cycles\":2900000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 638",4,"{\"cycles\":2700000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 640",4,"{\"cycles\":3000000000}",null,95,null,false,"[\"USD\",\"64.02\"]"
"AMD","Athlon II X4 640",4,"{\"cycles\":3000000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 641",4,"{\"cycles\":2800000000}",null,100,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 645",4,"{\"cycles\":3100000000}",null,95,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 651",4,"{\"cycles\":3000000000}",null,100,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon II X4 651K",4,"{\"cycles\":3000000000}",null,100,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X2 340",2,"{\"cycles\":3200000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X2 350",2,"{\"cycles\":3500000000}","{\"cycles\":3900000000}",65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X2 370K",2,"{\"cycles\":4200000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X2 450",2,"{\"cycles\":3500000000}","{\"cycles\":3900000000}",65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 530",4,"{\"cycles\":2000000000}",null,25,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 550",4,"{\"cycles\":2200000000}",null,25,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 740",4,"{\"cycles\":3200000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 750K",4,"{\"cycles\":3400000000}",null,100,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 760K",4,"{\"cycles\":3800000000}","{\"cycles\":4099999999}",100,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 840",4,"{\"cycles\":3100000000}","{\"cycles\":3800000000}",65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 845",4,"{\"cycles\":3500000000}","{\"cycles\":3800000000}",65,null,false,"[\"USD\",\"0.00\"]"
"AMD","Athlon X4 860K",4,"{\"cycles\":3700000000}","{\"cycles\":4000000000}",95,null,false,"[\"USD\",\"0.00\"]"
